experiment,source_file,function_type,function_label,n,r,T,K,m,S,E2,tag_error_exponent,effective_error_exponent,effective_delta,asymptotic_parallel_rate_target,ldpc_code_rate,ldpc_block_length,ldpc_information_length,ldpc_payload_rate,padding_efficiency,tuples_per_frame,ebno_db,channel_uses_per_bfc_decision,parallel_bfc_rate,rs_worst_case_fpr_bound,frames,stopping_mode,coded_false_positive_count,coded_negative_trials,coded_false_negative_count,coded_positive_trials,coded_fpr,coded_fnr,coded_max_fpr_fnr,coded_fp_plus_fn_over_trials,coded_max_ci95_lower,coded_max_ci95_upper,coded_max_zero_event_tuple_upper95_legacy,coded_fpr_zero_event_cluster_upper95,coded_fnr_zero_event_cluster_upper95,coded_max_zero_event_cluster_upper95,uncoded_false_positive_count,uncoded_negative_trials,uncoded_false_negative_count,uncoded_positive_trials,uncoded_fpr,uncoded_fnr,uncoded_max_fpr_fnr,uncoded_fp_plus_fn_over_trials,uncoded_max_ci95_lower,uncoded_max_ci95_upper,uncoded_max_zero_event_tuple_upper95_legacy,uncoded_fpr_zero_event_cluster_upper95,uncoded_fnr_zero_event_cluster_upper95,uncoded_max_zero_event_cluster_upper95,noiseless_false_positive_count,noiseless_negative_trials,noiseless_false_negative_count,noiseless_positive_trials,noiseless_fpr,noiseless_fnr,noiseless_max_fpr_fnr,noiseless_fp_plus_fn_over_trials,noiseless_max_ci95_lower,noiseless_max_ci95_upper,noiseless_max_zero_event_tuple_upper95_legacy,noiseless_fpr_zero_event_cluster_upper95,noiseless_fnr_zero_event_cluster_upper95,noiseless_max_zero_event_cluster_upper95,ldpc_frame_errors,ldpc_fer,ldpc_payload_ber,mean_ldpc_iterations,coded_tuple_error_rate,empirical_fpr_union_reference,worst_case_fpr_union_reference,fnr_fer_reference,empirical_fpr_union_excess,worst_case_fpr_union_excess,fnr_fer_excess,intrinsic_balanced_error,channel_created_balanced_error,channel_corrected_intrinsic_error
waterfall,results/noisy_channel_confirmatory_bp/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p5.mat,exact-threshold,Exact threshold,42,21,2097152,8,168,14028,0.1,0.1,0.05,0.2,0.0666666666666667,0.5,64800,32400,0.499722222222222,0.999444444444444,771,1.5,84.0466926070039,0.0879548878543584,0.0468235015869141,2500,fixed_frames,6451,963750,381,963750,0.00669364461738003,0.000395330739299611,0.00669364461738003,0.00354448767833982,0.00653269251521113,0.00685559056964593,NaN,NaN,NaN,NaN,6247,963750,811005,963750,0.00648197146562905,0.841509727626459,0.841509727626459,0.423995849546044,0.840778917310334,0.842191605135038,NaN,NaN,NaN,NaN,6454,963750,0,963750,0.00669675745784695,0,0.00669675745784695,0.00334837872892348,0.00653995567397963,0.00685338020540426,NaN,NaN,0.00119757524316,NaN,1,0.0004,4.69149527515286e-05,17.8112,0.000398962386511025,0.00709675745784695,0.0472235015869141,0.0004,-0.000403112840466927,-0.040529856969534,-4.66926070038912e-06,0.00334837872892348,0.000198184176394293,2.07522697795071e-06
waterfall,results/noisy_channel_confirmatory_bp/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p5.mat,id,Identification,40,20,1048576,65536,1310720,1,0.1,0.1,0.05,0.2,0.2,0.5,64800,32400,0.5,1,810,1.5,80,0.254024101186092,0.0624990463256836,2500,fixed_frames,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN,NaN,0.00119757524316,NaN,1,1012500,861623,1012500,9.87654320987654e-07,0.850985679012346,0.850985679012346,0.425493333333333,0.850291358024691,0.851661234567901,NaN,NaN,NaN,NaN,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN,NaN,0.00119757524316,NaN,0,0,0,17.7508,0,2.96296296296296e-06,0.0624990463256836,0,0,-0.0624960833627206,0,1.48148148148148e-06,0,0
waterfall,results/noisy_channel_confirmatory_bp/waterfall/rank/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p5.mat,rank,Rank,40,20,1048576,3120,62400,21,0.1,0.1,0.05,0.2,0.2,0.5,64800,32400,0.5,1,810,1.5,80,0.199115730107962,0.062464714050293,2500,fixed_frames,25,1012500,0,1012500,2.46913580246914e-05,0,2.46913580246914e-05,1.23456790123457e-05,1.58024691358025e-05,3.45679012345679e-05,NaN,NaN,0.00119757524316,NaN,22,1012500,849450,1012500,2.17283950617284e-05,0.838962962962963,0.838962962962963,0.419492345679012,0.838229135802469,0.839647407407407,NaN,NaN,NaN,NaN,25,1012500,0,1012500,2.46913580246914e-05,0,2.46913580246914e-05,1.23456790123457e-05,1.48148148148148e-05,3.45679012345679e-05,NaN,NaN,0.00119757524316,NaN,0,0,0,17.7136,0,2.46913580246914e-05,0.062464714050293,0,0,-0.0624400226922683,0,1.23456790123457e-05,0,0
