source_file,function_type,function_label,n,E2,ldpc_code_rate,ebno_db,false_positive_count,negative_trials,false_negative_count,positive_trials,fpr,fnr,max_fpr_fnr,fp_plus_fn_over_trials,max_ci95_lower,max_ci95_upper,channel_uses_per_bfc_decision,parallel_bfc_rate,frames,stopping_mode
results/noisy_channel_confirmatory/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p3.mat,id,Identification,40,0.1,0.5,2.3,3,1012500,1,1012500,2.96296296296296e-06,9.87654320987654e-07,2.96296296296296e-06,1.97530864197531e-06,0,6.79572304465999e-06,80,0.254024101186092,2500,fixed_frames
results/noisy_channel_confirmatory/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p4.mat,id,Identification,40,0.1,0.5,2.4,3,1012500,1,1012500,2.96296296296296e-06,9.87654320987654e-07,2.96296296296296e-06,1.97530864197531e-06,0,6.79572304465999e-06,80,0.254024101186092,2500,fixed_frames
results/noisy_channel_confirmatory/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p5.mat,id,Identification,40,0.1,0.5,2.5,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,0.00147446369035953,80,0.254024101186092,2500,fixed_frames
results/noisy_channel_confirmatory/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p6.mat,id,Identification,40,0.1,0.5,2.6,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,0.00147446369035953,80,0.254024101186092,2500,fixed_frames
results/noisy_channel_confirmatory/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p0p5.mat,exact-threshold,Exact threshold,42,0.1,0.5,0.5,248,38550,37877,38550,0.00643320363164721,0.98254215304799,0.98254215304799,0.494487678339818,0.981259487214452,0.983824818881528,84.0466926070039,0.0879548878543584,100,fixed_frames
results/noisy_channel_confirmatory/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p0p6.mat,exact-threshold,Exact threshold,42,0.1,0.5,0.6,258,38550,37700,38550,0.00669260700389105,0.977950713359274,0.977950713359274,0.492321660181582,0.976146293342239,0.979755133376308,84.0466926070039,0.0879548878543584,100,fixed_frames
results/noisy_channel_confirmatory/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p0p7.mat,exact-threshold,Exact threshold,42,0.1,0.5,0.7,283,38550,35963,38550,0.00734111543450065,0.932892347600519,0.932892347600519,0.47011673151751,0.901594988062603,0.964189707138434,84.0466926070039,0.0879548878543584,100,fixed_frames
results/noisy_channel_confirmatory/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p0p8.mat,exact-threshold,Exact threshold,42,0.1,0.5,0.8,244,38550,16854,38550,0.00632944228274968,0.437198443579767,0.437198443579767,0.221763942931258,0.341458748861369,0.532938138298164,84.0466926070039,0.0879548878543584,100,fixed_frames
results/noisy_channel_confirmatory/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p0p9.mat,exact-threshold,Exact threshold,42,0.1,0.5,0.9,271,38550,876,38550,0.00702983138780804,0.0227237354085603,0.0227237354085603,0.0148767833981842,0.00596731059842293,0.0434847783198741,84.0466926070039,0.0879548878543584,100,fixed_frames
results/noisy_channel_confirmatory/waterfall/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p0.mat,exact-threshold,Exact threshold,42,0.1,0.5,1,1310,192750,839,192750,0.00679636835278859,0.00435278858625162,0.00679636835278859,0.0055745784695201,0.00637765644464049,0.00721508026093668,84.0466926070039,0.0879548878543584,500,fixed_frames
