family,scheme,snr_db,frames,negative_trials,positive_trials,fp,fn,fer,noiseless_fp,mean_iterations,fp_lo95,fp_hi95,fp_events,fn_lo95,fn_hi95,fn_events,fer_lo95,fer_hi95,fer_events
exact,bfc,-5.5,2500,675000,675000,0.004677037037037037,0.9902192592592592,1.0,0.004693333333333333,50.0,0.0045244074074074075,0.00484,3157,0.9899748148148149,0.9904622592592592,668398,1.0,1.0,2500
exact,bfc,-4.9,2500,675000,675000,0.00472,0.785597037037037,1.0,0.004693333333333333,50.0,0.004558518518518518,0.00488,3186,0.78141,0.7898063333333333,530278,1.0,1.0,2500
exact,bfc,-4.8,2500,675000,675000,0.004712592592592593,0.5879051851851852,1.0,0.004693333333333333,50.0,0.004554074074074074,0.00486962962962963,3181,0.5833092962962962,0.5928387407407407,396836,1.0,1.0,2500
exact,bfc,-4.7,2500,675000,675000,0.004714074074074074,0.3547688888888889,0.9996,0.004693333333333333,50.0,0.004557037037037037,0.004882962962962963,3182,0.34910003703703707,0.3601971481481481,239469,0.9988,1.0,2499
exact,bfc,-4.6,2500,675000,675000,0.004675555555555555,0.1269362962962963,0.9568,0.004693333333333333,49.9812,0.004515555555555556,0.004829666666666667,3156,0.12221318518518517,0.13117192592592591,85682,0.9492,0.9644,2392
exact,bfc,-4.5,2500,675000,675000,0.004685925925925926,0.01866962962962963,0.5684,0.004693333333333333,49.5092,0.004525925925925926,0.004847444444444444,3163,0.01725325925925926,0.0202507037037037,12602,0.5488,0.5876,1421
exact,bfc,-4.4,10000,2700000,2700000,0.0047425925925925925,0.0006896296296296297,0.0907,0.004742222222222222,46.6128,0.004667027777777778,0.004822231481481482,12805,0.0006088796296296296,0.0007763055555555555,1862,0.085,0.0966,907
exact,bfc,-4.3,10000,2700000,2700000,0.004742222222222222,1.1111111111111112e-05,0.0036,0.004742222222222222,42.0506,0.0046611111111111115,0.004825574074074073,12804,5.925925925925926e-06,1.7407407407407406e-05,30,0.0025,0.0048,36
exact,bfc,-4.2,10000,2700000,2700000,0.004742222222222222,0.0,0.0001,0.004742222222222222,37.8165,0.004661824074074074,0.004822962962962963,12804,0.0,0.00029952835977664627,0,0.0,0.0003,1
exact,bfc,-4.1,2500,675000,675000,0.004693333333333333,0.0,0.0,0.004693333333333333,34.5548,0.004525814814814815,0.004859259259259259,3168,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
exact,bfc,-4.0,2500,675000,675000,0.004693333333333333,0.0,0.0,0.004693333333333333,31.6892,0.00453037037037037,0.004860740740740741,3168,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
exact,bfc,-3.9,2500,675000,675000,0.004693333333333333,0.0,0.0,0.004693333333333333,29.3688,0.004531851851851852,0.004854814814814814,3168,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
exact,bfc,-3.8,2500,675000,675000,0.004693333333333333,0.0,0.0,0.004693333333333333,27.3444,0.00453037037037037,0.004859259259259259,3168,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
exact,bfc,-3.7,2500,675000,675000,0.004693333333333333,0.0,0.0,0.004693333333333333,25.582,0.00452737037037037,0.004857777777777778,3168,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
exact,bfc,-3.6,2500,675000,675000,0.004693333333333333,0.0,0.0,0.004693333333333333,24.0244,0.004531851851851852,0.0048592962962962965,3168,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
exact,bfc,-3.0,2500,675000,675000,0.004693333333333333,0.0,0.0,0.004693333333333333,17.5016,0.004525925925925926,0.004853370370370371,3168,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
exact,bfc,0.0,2500,675000,675000,0.004693333333333333,0.0,0.0,0.004693333333333333,6.2528,0.004525925925925926,0.0048592962962962965,3168,0.0,0.0011975752431599984,0,0.0,0.0011975752431599984,0
