source_file,function_type,function_label,n,E2,ldpc_code_rate,ebno_db,channel_uses_per_bfc_decision,parallel_bfc_rate,frames,stopping_mode,coded_false_positive_count,coded_negative_trials,coded_false_negative_count,coded_positive_trials,coded_fpr,coded_fnr,coded_max_fpr_fnr,coded_fp_plus_fn_over_trials,coded_max_ci95_lower,coded_max_ci95_upper,coded_max_zero_event_upper95,uncoded_false_positive_count,uncoded_negative_trials,uncoded_false_negative_count,uncoded_positive_trials,uncoded_fpr,uncoded_fnr,uncoded_max_fpr_fnr,uncoded_fp_plus_fn_over_trials,uncoded_max_ci95_lower,uncoded_max_ci95_upper,uncoded_max_zero_event_upper95,noiseless_false_positive_count,noiseless_negative_trials,noiseless_false_negative_count,noiseless_positive_trials,noiseless_fpr,noiseless_fnr,noiseless_max_fpr_fnr,noiseless_fp_plus_fn_over_trials,noiseless_max_ci95_lower,noiseless_max_ci95_upper,noiseless_max_zero_event_upper95
results/noisy_channel_confirmatory_bp/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p5.mat,id,Identification,40,0.1,0.5,1.5,80,0.254024101186092,2500,fixed_frames,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN,1,1012500,861623,1012500,9.87654320987654e-07,0.850985679012346,0.850985679012346,0.425493333333333,0.850291358024691,0.851661234567901,NaN,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN
results/noisy_channel_confirmatory_bp/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p6.mat,id,Identification,40,0.1,0.5,1.6,80,0.254024101186092,2500,fixed_frames,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN,3,1012500,848838,1012500,2.96296296296296e-06,0.838358518518519,0.838358518518519,0.419180740740741,0.837658271604938,0.839067654320988,NaN,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN
results/noisy_channel_confirmatory_bp/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p7.mat,id,Identification,40,0.1,0.5,1.7,80,0.254024101186092,2500,fixed_frames,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN,1,1012500,836096,1012500,9.87654320987654e-07,0.825773827160494,0.825773827160494,0.412887407407407,0.825063703703704,0.82650962962963,NaN,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN
results/noisy_channel_confirmatory_bp/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p8.mat,id,Identification,40,0.1,0.5,1.8,80,0.254024101186092,2500,fixed_frames,3,1012500,1,1012500,2.96296296296296e-06,9.87654320987654e-07,2.96296296296296e-06,1.97530864197531e-06,9.87654320987654e-07,6.91358024691358e-06,NaN,0,1012500,821902,1012500,0,0.811755061728395,0.811755061728395,0.405877530864198,0.810948148148148,0.81251950617284,NaN,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN
results/noisy_channel_confirmatory_bp/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p9.mat,id,Identification,40,0.1,0.5,1.9,80,0.254024101186092,2500,fixed_frames,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN,1,1012500,808101,1012500,9.87654320987654e-07,0.798124444444444,0.798124444444444,0.399062716049383,0.797311604938272,0.798908641975309,NaN,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,5.92592592592593e-06,NaN
results/noisy_channel_confirmatory_bp/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p0.mat,id,Identification,40,0.1,0.5,2,80,0.254024101186092,2500,fixed_frames,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN,1,1012500,793038,1012500,9.87654320987654e-07,0.783247407407407,0.783247407407407,0.391624197530864,0.782433580246914,0.784053333333333,NaN,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN
results/noisy_channel_confirmatory_bp/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p1.mat,id,Identification,40,0.1,0.5,2.1,80,0.254024101186092,2500,fixed_frames,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN,1,1012500,777620,1012500,9.87654320987654e-07,0.76801975308642,0.76801975308642,0.38401037037037,0.767217777777778,0.768807901234568,NaN,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN
results/noisy_channel_confirmatory_bp/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p2.mat,id,Identification,40,0.1,0.5,2.2,80,0.254024101186092,2500,fixed_frames,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN,1,1012500,761647,1012500,9.87654320987654e-07,0.752243950617284,0.752243950617284,0.376122469135802,0.751387654320988,0.753055802469136,NaN,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN
results/noisy_channel_confirmatory_bp/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p3.mat,id,Identification,40,0.1,0.5,2.3,80,0.254024101186092,2500,fixed_frames,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN,1,1012500,744853,1012500,9.87654320987654e-07,0.735657283950617,0.735657283950617,0.367829135802469,0.734815802469136,0.736525432098765,NaN,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN
results/noisy_channel_confirmatory_bp/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p4.mat,id,Identification,40,0.1,0.5,2.4,80,0.254024101186092,2500,fixed_frames,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN,1,1012500,726648,1012500,9.87654320987654e-07,0.717677037037037,0.717677037037037,0.358839012345679,0.716791111111111,0.718564938271605,NaN,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN
