source_file,function_type,function_label,n,E2,ldpc_code_rate,ebno_db,false_positive_count,negative_trials,false_negative_count,positive_trials,fpr,fnr,max_fpr_fnr,fp_plus_fn_over_trials,max_ci95_lower,max_ci95_upper,channel_uses_per_bfc_decision,parallel_bfc_rate,frames,stopping_mode
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p1p0.mat,id,Identification,40,0.1,0.333333333333333,1,0,135000,25586,135000,0,0.189525925925926,0.189525925925926,0.094762962962963,0.185033549191161,0.194018302660691,120,0.169349400790728,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p1p5.mat,id,Identification,40,0.1,0.333333333333333,1.5,0,135000,5037,135000,0,0.0373111111111111,0.0373111111111111,0.0186555555555556,0.0355077292185104,0.0391144930037118,120,0.169349400790728,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p2p0.mat,id,Identification,40,0.1,0.333333333333333,2,2,405000,2100,405000,4.93827160493827e-06,0.00518518518518519,0.00518518518518519,0.00259506172839506,0.00487259967514339,0.00549777069522698,120,0.169349400790728,1500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p2p5.mat,id,Identification,40,0.1,0.333333333333333,2.5,2,405000,305,405000,4.93827160493827e-06,0.000753086419753086,0.000753086419753086,0.000379012345679012,0.000649961412194364,0.000856211427311809,120,0.169349400790728,1500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p4/points/result_n_40_awgn_ebno_p1p0.mat,id,Identification,40,0.1,0.4,1,0,162000,8091,162000,0,0.0499444444444444,0.0499444444444444,0.0249722222222222,0.0478296375703493,0.0520592513185395,100,0.203219280948874,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p4/points/result_n_40_awgn_ebno_p1p5.mat,id,Identification,40,0.1,0.4,1.5,0,162000,793,162000,0,0.00489506172839506,0.00489506172839506,0.00244753086419753,0.0043935385921075,0.00735061005190774,100,0.203219280948874,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p4/points/result_n_40_awgn_ebno_p2p0.mat,id,Identification,40,0.1,0.4,2,2,486000,241,486000,4.11522633744856e-06,0.000495884773662551,0.000495884773662551,0.00025,0.000423484130437407,0.000568285416887696,100,0.203219280948874,1500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p4/points/result_n_40_awgn_ebno_p2p5.mat,id,Identification,40,0.1,0.4,2.5,2,486000,18,486000,4.11522633744856e-06,3.7037037037037e-05,3.7037037037037e-05,2.05761316872428e-05,1.55043982997795e-05,5.85696757742946e-05,100,0.203219280948874,1500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p0.mat,id,Identification,40,0.1,0.5,1,0,202500,1060,202500,0,0.00523456790123457,0.00523456790123457,0.00261728395061728,0.00461402328433374,0.00735061005190774,80,0.254024101186092,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p5.mat,id,Identification,40,0.1,0.5,1.5,0,202500,37,202500,0,0.000182716049382716,0.000182716049382716,9.1358024691358e-05,0.000109002874868635,0.00735061005190774,80,0.254024101186092,500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p0.mat,id,Identification,40,0.1,0.5,2,3,607500,7,607500,4.93827160493827e-06,1.1522633744856e-05,1.1522633744856e-05,8.23045267489712e-06,4.70399428207141e-07,2.25748680615048e-05,80,0.254024101186092,1500,fixed_frames
results/noisy_channel_confirmatory/rate_pareto/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p5.mat,id,Identification,40,0.1,0.5,2.5,3,607500,0,607500,4.93827160493827e-06,0,4.93827160493827e-06,2.46913580246914e-06,0,0.00245623148419849,80,0.254024101186092,1500,fixed_frames
