family,scheme,snr_db,frames,fp,fn,fer,noiseless_fp,mean_iterations,fp_lo95,fp_hi95,fp_events,fn_lo95,fn_hi95,fn_events,fer_lo95,fer_hi95,fer_events
exact,bfc,-5.5,100,0.0047777777777777775,0.9908148148148148,1.0,0.005037037037037037,50.0,0.004037037037037037,0.005555555555555556,129,0.9896287037037037,0.9919629629629629,26752,1.0,1.0,100
exact,bfc,-5.0,100,0.004555555555555556,0.9054444444444445,1.0,0.005037037037037037,50.0,0.0036666666666666666,0.005481481481481481,123,0.892886111111111,0.9171518518518519,24447,1.0,1.0,100
exact,bfc,-4.5,100,0.005074074074074074,0.027037037037037037,0.61,0.005037037037037037,49.64,0.004185185185185185,0.005962962962962963,137,0.01785,0.03788888888888889,730,0.51,0.71,61
exact,bfc,-4.0,100,0.005037037037037037,0.0,0.0,0.005037037037037037,32.21,0.004184259259259259,0.005925925925925926,136,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,bfc,-3.5,100,0.005037037037037037,0.0,0.0,0.005037037037037037,22.7,0.004185185185185185,0.005888888888888889,136,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,bfc,-3.0,100,0.005037037037037037,0.0,0.0,0.005037037037037037,17.31,0.004185185185185185,0.005888888888888889,136,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,bfc,-2.5,100,0.005037037037037037,0.0,0.0,0.005037037037037037,13.87,0.004184259259259259,0.005925925925925926,136,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,bfc,-2.0,100,0.005037037037037037,0.0,0.0,0.005037037037037037,11.71,0.004185185185185185,0.0058898148148148095,136,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,bfc,-1.5,100,0.005037037037037037,0.0,0.0,0.005037037037037037,9.92,0.004148148148148148,0.005851851851851852,136,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,bfc,-1.0,100,0.005037037037037037,0.0,0.0,0.005037037037037037,8.39,0.004185185185185185,0.005888888888888889,136,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,bfc,-0.5,100,0.005037037037037037,0.0,0.0,0.005037037037037037,7.24,0.004185185185185185,0.005925925925925926,136,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,bfc,0.0,100,0.005037037037037037,0.0,0.0,0.005037037037037037,6.29,0.004222222222222222,0.005925925925925926,136,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,bfc,0.5,100,0.005037037037037037,0.0,0.0,0.005037037037037037,5.43,0.004222222222222222,0.005925925925925926,136,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,bfc,1.0,100,0.005037037037037037,0.0,0.0,0.005037037037037037,4.76,0.004185185185185185,0.005925925925925926,136,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,bfc,1.5,100,0.005037037037037037,0.0,0.0,0.005037037037037037,4.21,0.004185185185185185,0.0058898148148148095,136,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,bfc,2.0,100,0.005037037037037037,0.0,0.0,0.005037037037037037,3.76,0.004222222222222222,0.005925925925925926,136,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,bfc,2.5,100,0.005037037037037037,0.0,0.0,0.005037037037037037,3.2,0.004185185185185185,0.0058898148148148095,136,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,bfc,3.0,100,0.005037037037037037,0.0,0.0,0.005037037037037037,2.94,0.004222222222222222,0.005888888888888889,136,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,bfc,3.5,100,0.005037037037037037,0.0,0.0,0.005037037037037037,2.51,0.004184259259259259,0.005888888888888889,136,0.0,0.029513049607039932,0,0.0,0.029513049607039932,0
exact,conventional,-5.5,100,0.0,1.0,1.0,0.0,50.0,0.0,0.029513049607039932,0,1.0,1.0,27000,1.0,1.0,100
