family,epsilon,n_t,r,T,K,m,S,rate,bound,aligned
id,0.01,47,24,8388608,83887,2013288,1,0.4455557900694372,0.009999990463256836,False
id,0.01,48,24,16777216,167773,4026552,1,0.45710653196249346,0.009999990463256836,True
id,0.01,48,24,16777216,167773,4026552,1,0.45710653196249346,0.009999990463256836,False
id,0.01,49,25,16777216,167773,4194325,1,0.4489797392500664,0.009999990463256836,True
id,0.01,49,25,16777216,167773,4194325,1,0.4489797392500664,0.009999990463256836,False
id,0.01,50,25,33554432,335545,8388625,1,0.460000058474042,0.009999990463256836,True
id,0.01,50,25,33554432,335545,8388625,1,0.460000058474042,0.009999990463256836,False
id,0.01,51,26,33554432,335545,8724170,1,0.45208993043271506,0.009999990463256836,True
id,0.01,51,26,33554432,335545,8724170,1,0.45208993043271506,0.009999990463256836,False
id,0.01,52,26,67108864,671089,17448314,1,0.4626266211978479,0.009999990463256836,True
id,0.01,52,26,67108864,671089,17448314,1,0.4626266211978479,0.009999990463256836,False
id,0.01,53,27,67108864,671089,18119403,1,0.4549251337039711,0.009999990463256836,True
id,0.01,53,27,67108864,671089,18119403,1,0.4549251337039711,0.009999990463256836,False
id,0.01,54,27,134217728,1342178,36238806,1,0.46501911270945306,0.009999997913837433,True
id,0.01,54,27,134217728,1342178,36238806,1,0.46501911270945306,0.009999997913837433,False
id,0.01,55,28,134217728,1342178,37580984,1,0.45751817284008367,0.009999997913837433,True
id,0.01,55,28,134217728,1342178,37580984,1,0.45751817284008367,0.009999997913837433,False
id,0.01,56,28,268435456,2684355,75161940,1,0.46720533872783937,0.009999997913837433,True
id,0.01,56,28,268435456,2684355,75161940,1,0.46720533872783937,0.009999997913837433,False
id,0.01,57,29,268435456,2684355,77846295,1,0.459896930558403,0.009999997913837433,True
id,0.01,57,29,268435456,2684355,77846295,1,0.459896930558403,0.009999997913837433,False
id,0.01,58,29,536870912,5368710,155692590,1,0.46920905244532707,0.009999999776482582,True
id,0.01,58,29,536870912,5368710,155692590,1,0.46920905244532707,0.009999999776482582,False
id,0.01,59,30,536870912,5368710,161061300,1,0.4620853329205071,0.009999999776482582,True
id,0.01,59,30,536870912,5368710,161061300,1,0.4620853329205071,0.009999999776482582,False
id,0.01,60,30,1073741824,10737419,322122570,1,0.47105057513247484,0.009999999776482582,True
id,0.01,60,30,1073741824,10737419,322122570,1,0.47105057513247484,0.009999999776482582,False
id,0.01,61,31,1073741824,10737419,332859989,1,0.4641039380774893,0.009999999776482582,True
id,0.01,61,31,1073741824,10737419,332859989,1,0.4641039380774893,0.009999999776482582,False
id,0.01,62,31,2147483648,21474837,665719947,1,0.4727474218636472,0.009999999776482582,True
id,0.01,62,31,2147483648,21474837,665719947,1,0.4727474218636472,0.009999999776482582,False
id,0.01,63,32,2147483648,21474837,687194784,1,0.46597053722475,0.009999999776482582,True
id,0.01,63,32,2147483648,21474837,687194784,1,0.46597053722475,0.009999999776482582,False
id,0.01,64,32,4294967296,42949673,1374389536,1,0.47431474705576393,0.009999999776482582,True
id,0.01,64,32,4294967296,42949673,1374389536,1,0.47431474705576393,0.009999999776482582,False
id,0.01,65,33,4294967296,42949673,1417339209,1,0.46770058355272837,0.009999999776482582,True
id,0.01,65,33,4294967296,42949673,1417339209,1,0.46770058355272837,0.009999999776482582,False
id,0.01,66,33,8589934592,85899346,2834678418,1,0.47576572622617186,0.009999999892897904,True
id,0.01,66,33,8589934592,85899346,2834678418,1,0.47576572622617186,0.009999999892897904,False
id,0.01,67,34,8589934592,85899346,2920577764,1,0.46930756198237655,0.009999999892897904,True
id,0.01,67,34,8589934592,85899346,2920577764,1,0.46930756198237655,0.009999999892897904,False
