experiment,family,n_t,m,K,T,S,bound,G,padding,R_c,payload_rate,n_eff,R_eff,unpacked_rate,packing_gain,ebno_db,frames,frame_errors,fer,fer_lower95,fer_upper95,fpr,fnr,noiseless_fpr,fpr_lower95,fpr_upper95,fnr_lower95,fnr_upper95,max_error,max_lower95,max_upper95,fp_count,fn_count,negative_trials,positive_trials,bad_frame_given_negative,bad_frame_given_positive,zero_frame_upper95,fpr_zero_upper95,fnr_zero_upper95,diagnostic_fp_envelope,runtime_hours,seed,source
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,514,12,0.3333333333333333,0.33314814814814814,126.07003891050584,0.0586365919029056,0.00011407897257374631,514,1,2500,0,0.0,0,0.001474463690359561,0.00657431906614786,0.0,0.00657431906614786,0.006373540856031128,0.006775097276264592,0,0,0.00657431906614786,0.006373540856031128,0.006775097276264592,4224,0,642500,642500,0.0,0.0,0.0011975752431599648,0.0011975752431599648,0.0011975752431599648,0.04682350158691406,0.8079177327777778,102053110,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p3333/points/result_n_42_awgn_ebno_p1p0.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,514,12,0.3333333333333333,0.33314814814814814,126.07003891050584,0.0586365919029056,0.00011407897257374631,514,1.5,2500,0,0.0,0,0.001474463690359561,0.00657431906614786,0.0,0.00657431906614786,0.006375097276264592,0.006787548638132295,0,0,0.00657431906614786,0.006375097276264592,0.006787548638132295,4224,0,642500,642500,0.0,0.0,0.0011975752431599648,0.0011975752431599648,0.0011975752431599648,0.04682350158691406,0.40808341416666666,102557610,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p3333/points/result_n_42_awgn_ebno_p1p5.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,514,12,0.3333333333333333,0.33314814814814814,126.07003891050584,0.0586365919029056,0.00011407897257374631,514,2,2500,0,0.0,0,0.001474463690359561,0.00657431906614786,0.0,0.00657431906614786,0.006376653696498055,0.00676887159533074,0,0,0.00657431906614786,0.006376653696498055,0.00676887159533074,4224,0,642500,642500,0.0,0.0,0.0011975752431599648,0.0011975752431599648,0.0011975752431599648,0.04682350158691406,0.42114933027777773,103062110,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p3333/points/result_n_42_awgn_ebno_p2p0.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,514,12,0.3333333333333333,0.33314814814814814,126.07003891050584,0.0586365919029056,0.00011407897257374631,514,2.5,2500,0,0.0,0,0.001474463690359561,0.00657431906614786,0.0,0.00657431906614786,0.006370428015564203,0.00676420233463035,0,0,0.00657431906614786,0.006370428015564203,0.00676420233463035,4224,0,642500,642500,0.0,0.0,0.0011975752431599648,0.0011975752431599648,0.0011975752431599648,0.04682350158691406,0.48905863611111117,103566610,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p3333/points/result_n_42_awgn_ebno_p2p5.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,617,6,0.4,0.39990740740740743,105.02431118314425,0.07038672607800146,0.00011407897257374631,617,1,2500,0,0.0,0,0.001474463690359561,0.006648946515397083,0.0,0.006648946515397083,0.006473981544030984,0.006832983472478117,0,0,0.006648946515397083,0.006473981544030984,0.006832983472478117,5128,0,771250,771250,0.0,0.0,0.0011975752431599648,0.0011995162078976634,0.0011995162078976634,0.04682350158691406,0.5001035408333333,102053110,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p4/points/result_n_42_awgn_ebno_p1p0.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,617,6,0.4,0.39990740740740743,105.02431118314425,0.07038672607800146,0.00011407897257374631,617,1.5,2500,1,0.0004,1.0127071914576963e-05,0.002226620698675696,0.006648946515397083,2.593192868719611e-06,0.006648946515397083,0.006468677674699029,0.0068252393825647805,0.0,7.779830788680346e-06,0.006648946515397083,0.006468677674699029,0.0068252393825647805,5128,2,771250,771250,0.0004006482982171799,0.0003993517017828201,0.0011975752431599648,0.0011995162078976634,0.0011995162078976634,0.04722350158691406,0.35590536166666664,102557610,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p4/points/result_n_42_awgn_ebno_p1p5.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,617,6,0.4,0.39990740740740743,105.02431118314425,0.07038672607800146,0.00011407897257374631,617,2,2500,0,0.0,0,0.001474463690359561,0.006648946515397083,0.0,0.006648946515397083,0.0064814250577934635,0.006823783537087387,0,0,0.006648946515397083,0.0064814250577934635,0.006823783537087387,5128,0,771250,771250,0.0,0.0,0.0011975752431599648,0.0011995162078976634,0.0011995162078976634,0.04682350158691406,0.6000278583333333,103062110,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p4/points/result_n_42_awgn_ebno_p2p0.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,617,6,0.4,0.39990740740740743,105.02431118314425,0.07038672607800146,0.00011407897257374631,617,2.5,2500,0,0.0,0,0.001474463690359561,0.006648946515397083,0.0,0.006648946515397083,0.006474866781625588,0.006824562199731582,0,0,0.006648946515397083,0.006474866781625588,0.006824562199731582,5128,0,771250,771250,0.0,0.0,0.0011975752431599648,0.0011995162078976634,0.0011995162078976634,0.04682350158691406,0.3974429022222222,103566610,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p4/points/result_n_42_awgn_ebno_p2p5.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,771,18,0.5,0.49972222222222223,84.04669260700389,0.0879548878543584,0.00011407897257374631,771,1,2500,1,0.0004,1.0127071914576963e-05,0.002226620698675696,0.00669260700389105,0.00039740596627756163,0.006694682230869001,0.006533960615688561,0.00685645033431421,0.0,0.0011922451148041772,0.00669260700389105,0.006533960615688561,0.00685645033431421,6450,383,963750,963750,0.0003994811932555123,0.00040051880674448766,0.0011975752431599648,0.001199128518442922,0.001199128518442922,0.04722350158691406,0.9901301830555556,102053110,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p0.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,771,18,0.5,0.49972222222222223,84.04669260700389,0.0879548878543584,0.00011407897257374631,771,1.5,2500,1,0.0004,1.0127071914576963e-05,0.002226620698675696,0.006691569390402075,0.0003953307392996109,0.006694682230869001,0.006530630879279825,0.006854410698110212,0.0,0.0011860328291396747,0.006691569390402075,0.006530630879279825,0.006854410698110212,6449,381,963750,963750,0.00040051880674448766,0.0003994811932555123,0.0011975752431599648,0.001199128518442922,0.001199128518442922,0.04722350158691406,0.5835964088888889,102557610,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p1p5.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,771,18,0.5,0.49972222222222223,84.04669260700389,0.0879548878543584,0.00011407897257374631,771,2,2500,0,0.0,0,0.001474463690359561,0.006694682230869001,0.0,0.006694682230869001,0.006533852140077821,0.006859726835321938,0,0,0.006694682230869001,0.006533852140077821,0.006859726835321938,6452,0,963750,963750,0.0,0.0,0.0011975752431599648,0.001199128518442922,0.001199128518442922,0.04682350158691406,0.8238596736111111,103062110,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p2p0.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,771,18,0.5,0.49972222222222223,84.04669260700389,0.0879548878543584,0.00011407897257374631,771,2.5,2500,0,0.0,0,0.001474463690359561,0.006694682230869001,0.0,0.006694682230869001,0.006525571545229194,0.006857445241084491,0,0,0.006694682230869001,0.006525571545229194,0.006857445241084491,6452,0,963750,963750,0.0,0.0,0.0011975752431599648,0.001199128518442922,0.001199128518442922,0.04682350158691406,0.5010260180555556,103566610,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p5/points/result_n_42_awgn_ebno_p2p5.mat
rate_pareto,exact-threshold,42,168,8,2097152,14028,0.04682350158691406,925,30,0.6,0.5995370370370371,70.05405405405405,0.10552304963071533,0.00011407897257374631,925,1,2500,2499,0.9996,0.9977733793013243,0.9999898729280854,0.00671654054054054,0.9562395675675676,0.006682810810810811,0.006566207383869721,0.006860848365132396,0.9548512251739252,0.9573259694692535,0.9562395675675676,0.9548512251739252,0.9573259694692535,7766,1105652,1156250,1156250,0.9996004324324325,0.9995995675675675,0.0011975752431599648,0.0011988699190985162,0.0011988699190985162,1,1.7285515894444443,102053110,results/evidence/noisy/rate_pareto/exact-threshold/n_42/Rc_0p6/points/result_n_42_awgn_ebno_p1p0.mat
