experiment,family,n_t,snr_db,frames,failed_frames,fn_count,failed_frames_without_fn,fer,fer_lower95,fer_upper95,source
rate_pareto,id,40,2,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p0.mat
rate_pareto,id,40,2.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p5.mat
rate_pareto,id,40,1,2500,2500,1174457,0,1.0,0.9985255363096405,1,results/evidence/noisy/rate_pareto/id/n_40/Rc_0p6/points/result_n_40_awgn_ebno_p1p0.mat
rate_pareto,id,40,1.5,2500,1,172,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/rate_pareto/id/n_40/Rc_0p6/points/result_n_40_awgn_ebno_p1p5.mat
rate_pareto,id,40,2,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/id/n_40/Rc_0p6/points/result_n_40_awgn_ebno_p2p0.mat
rate_pareto,id,40,2.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/id/n_40/Rc_0p6/points/result_n_40_awgn_ebno_p2p5.mat
rate_pareto,id,40,1,2500,2500,1251695,0,1.0,0.9985255363096405,1,results/evidence/noisy/rate_pareto/id/n_40/Rc_0p6667/points/result_n_40_awgn_ebno_p1p0.mat
rate_pareto,id,40,1.5,2500,2493,774125,1,0.9972,0.9942394912264854,0.9988735367100187,results/evidence/noisy/rate_pareto/id/n_40/Rc_0p6667/points/result_n_40_awgn_ebno_p1p5.mat
rate_pareto,id,40,2,2500,19,679,2,0.0076,0.004581717699861556,0.0118430031948544,results/evidence/noisy/rate_pareto/id/n_40/Rc_0p6667/points/result_n_40_awgn_ebno_p2p0.mat
rate_pareto,id,40,2.5,2500,6,545,0,0.0024,0.0008812510816910453,0.005216417099908342,results/evidence/noisy/rate_pareto/id/n_40/Rc_0p6667/points/result_n_40_awgn_ebno_p2p5.mat
rate_pareto,rank,40,1,2500,1,247,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p1p0.mat
rate_pareto,rank,40,1.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p1p5.mat
rate_pareto,rank,40,2,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p2p0.mat
rate_pareto,rank,40,2.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p3333/points/result_n_40_awgn_ebno_p2p5.mat
rate_pareto,rank,40,1,2500,1,324,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p4/points/result_n_40_awgn_ebno_p1p0.mat
rate_pareto,rank,40,1.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p4/points/result_n_40_awgn_ebno_p1p5.mat
rate_pareto,rank,40,2,2500,1,111,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p4/points/result_n_40_awgn_ebno_p2p0.mat
rate_pareto,rank,40,2.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p4/points/result_n_40_awgn_ebno_p2p5.mat
rate_pareto,rank,40,1,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p0.mat
rate_pareto,rank,40,1.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p5.mat
rate_pareto,rank,40,2,2500,1,1,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p0.mat
rate_pareto,rank,40,2.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p5.mat
rate_pareto,rank,40,1,2500,2500,1166236,0,1.0,0.9985255363096405,1,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p6/points/result_n_40_awgn_ebno_p1p0.mat
rate_pareto,rank,40,1.5,2500,2,259,0,0.0008,9.689839917819219e-05,0.002886856904276735,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p6/points/result_n_40_awgn_ebno_p1p5.mat
rate_pareto,rank,40,2,2500,1,0,1,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p6/points/result_n_40_awgn_ebno_p2p0.mat
rate_pareto,rank,40,2.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p6/points/result_n_40_awgn_ebno_p2p5.mat
rate_pareto,rank,40,1,2500,2500,1240057,0,1.0,0.9985255363096405,1,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p6667/points/result_n_40_awgn_ebno_p1p0.mat
rate_pareto,rank,40,1.5,2500,2493,757474,0,0.9972,0.9942394912264854,0.9988735367100187,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p6667/points/result_n_40_awgn_ebno_p1p5.mat
rate_pareto,rank,40,2,2500,19,825,1,0.0076,0.004581717699861556,0.0118430031948544,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p6667/points/result_n_40_awgn_ebno_p2p0.mat
rate_pareto,rank,40,2.5,2500,10,2590,0,0.004,0.0019197710897091793,0.007343800722249135,results/evidence/noisy/rate_pareto/rank/n_40/Rc_0p6667/points/result_n_40_awgn_ebno_p2p5.mat
threshold_nt40,exact-threshold,40,0.5,2500,2500,965114,0,1.0,0.9985255363096405,1,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p0p5.mat
threshold_nt40,exact-threshold,40,0.6,2500,2498,921869,0,0.9992,0.9971131430957233,0.9999031016008219,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p0p6.mat
threshold_nt40,exact-threshold,40,0.7,2500,2255,522400,26,0.902,0.889670203787883,0.9133785476180771,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p0p7.mat
threshold_nt40,exact-threshold,40,0.8,2500,480,35245,38,0.192,0.17672816998863586,0.2079967403011712,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p0p8.mat
threshold_nt40,exact-threshold,40,0.9,2500,5,84,2,0.002,0.0006497034712109682,0.004661110898133035,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p0p9.mat
threshold_nt40,exact-threshold,40,1,2500,2,775,0,0.0008,9.689839917819219e-05,0.002886856904276735,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p0.mat
threshold_nt40,exact-threshold,40,1.1,2500,2,373,0,0.0008,9.689839917819219e-05,0.002886856904276735,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p1.mat
threshold_nt40,exact-threshold,40,1.2000000000000002,2500,2,435,0,0.0008,9.689839917819219e-05,0.002886856904276735,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p2.mat
threshold_nt40,exact-threshold,40,1.3,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p3.mat
threshold_nt40,exact-threshold,40,1.4,2500,1,68,0,0.0004,1.0127071914576963e-05,0.002226620698675696,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p4.mat
threshold_nt40,exact-threshold,40,1.5,2500,0,0,0,0.0,0,0.001474463690359561,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p5.mat
