experiment,family,n_t,m,K,T,S,bound,G,padding,R_c,payload_rate,n_eff,R_eff,unpacked_rate,packing_gain,ebno_db,frames,frame_errors,fer,fer_lower95,fer_upper95,fpr,fnr,noiseless_fpr,fpr_lower95,fpr_upper95,fnr_lower95,fnr_upper95,max_error,max_lower95,max_upper95,fp_count,fn_count,negative_trials,positive_trials,bad_frame_given_negative,bad_frame_given_positive,zero_frame_upper95,fpr_zero_upper95,fnr_zero_upper95,diagnostic_fp_envelope,runtime_hours,seed,source,source_experiment
waterfall,id,40,1310720,65536,1048576,1,0.062499046325683594,810,0,0.5,0.5,80.0,0.25402410118609203,0.0003136100014643111,810,1.5,2500,0,0.0,0,0.001474463690359561,2.962962962962963e-06,0.0,2.962962962962963e-06,0.0,6.91358024691358e-06,0,0,2.962962962962963e-06,0.0,6.91358024691358e-06,3,0,1012500,1012500,0.0,0.0,0.0011975752431599648,0.0011975752431599648,0.0011975752431599648,0.062499046325683594,4.2408675916666665,102555592,results/evidence/noisy/waterfall/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p5.mat,
waterfall,rank,40,62400,3120,1048576,21,0.06246471405029297,810,0,0.5,0.5,80.0,0.19911573010796216,0.0002458218890221755,810,1.5,2500,0,0.0,0,0.001474463690359561,2.4691358024691357e-05,0.0,2.4691358024691357e-05,1.580246913580247e-05,3.45679012345679e-05,0,0,2.4691358024691357e-05,1.580246913580247e-05,3.45679012345679e-05,25,0,1012500,1012500,0.0,0.0,0.0011975752431599648,0.0011975752431599648,0.0011975752431599648,0.06246471405029297,2.356957540833333,102555592,results/evidence/noisy/waterfall/rank/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p5.mat,
waterfall,exact-threshold,40,120,6,1048576,7140,0.034046173095703125,810,0,0.5,0.5,80.0,0.08633613244510649,0.0001065878178334648,810,1.5,2500,0,0.0,0,0.001474463690359561,0.006806913580246913,0.0,0.006806913580246913,0.006644938271604939,0.006967901234567901,0,0,0.006806913580246913,0.006644938271604939,0.006967901234567901,6892,0,1012500,1012500,0.0,0.0,0.0011975752431599648,0.0011975752431599648,0.0011975752431599648,0.034046173095703125,0.8337894761111112,102555592,results/evidence/noisy/threshold_nt40/exact-threshold/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p1p5.mat,threshold_nt40
