source_file,source_kind,func_type,n,r,L,K,m,S,rate,exact_fixed_fpr,position_mc_fpr,uniform_joint_mc,proposition1_joint_average,theorem_bound
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_id_E2_0.10/fixed_msg_result_n_20.mat,single_fixed_message,id,20,10,1024,256,2560,1,0.566096404744368,0.0009765625,0.000986,NaN,0.0009765625,0.2490234375
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_id_E2_0.10_v1/fixed_msg_result_n_20.mat,single_fixed_message,id,20,10,1024,256,2560,1,0.566096404744368,0.0009765625,0.000956,NaN,0.0009765625,0.2490234375
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_id_E2_0.10/fixed_msg_result_n_22.mat,single_fixed_message,id,22,11,2048,445,4895,1,0.557140597476866,0.00048828125,0.000516,NaN,0.00048828125,0.216796875
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_id_E2_0.10_v1/fixed_msg_result_n_22.mat,single_fixed_message,id,22,11,2048,445,4895,1,0.557140597476866,0.00048828125,0.000512,NaN,0.00048828125,0.216796875
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_id_E2_0.10/fixed_msg_result_n_24.mat,single_fixed_message,id,24,12,4096,776,9312,1,0.549369805954512,0.00048828125,0.000498,NaN,0.000244140625,0.189208984375
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_id_E2_0.10_v1/fixed_msg_result_n_24.mat,single_fixed_message,id,24,12,4096,776,9312,1,0.549369805954512,0.00048828125,0.000477,NaN,0.000244140625,0.189208984375
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_id_E2_0.10/fixed_msg_result_n_26.mat,single_fixed_message,id,26,13,8192,1351,17563,1,0.542317372210261,0.0001220703125,0.000124,NaN,0.0001220703125,0.164794921875
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_id_E2_0.10/fixed_msg_result_n_28.mat,single_fixed_message,id,28,14,16384,2352,32928,1,0.535965259531927,6.103515625e-05,6.6e-05,NaN,6.103515625e-05,0.14349365234375
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_id_E2_0.10/fixed_msg_result_n_30.mat,single_fixed_message,id,30,15,32768,4096,61440,1,0.530229686520284,9.1552734375e-05,0.000109,NaN,3.0517578125e-05,0.124969482421875
/Users/yangshuo/Git/ID_RS_code/results_temp/fixed_msg_id_E2_0.10/fixed_msg_result_n_32.mat,single_fixed_message,id,32,16,65536,7131,114096,1,0.524996521520737,0,0,NaN,1.52587890625e-05,0.108795166015625
