source_file,function_type,function_label,n,E2,ldpc_code_rate,ebno_db,channel_uses_per_bfc_decision,parallel_bfc_rate,frames,stopping_mode,coded_false_positive_count,coded_negative_trials,coded_false_negative_count,coded_positive_trials,coded_fpr,coded_fnr,coded_max_fpr_fnr,coded_fp_plus_fn_over_trials,coded_max_ci95_lower,coded_max_ci95_upper,coded_max_zero_event_upper95,uncoded_false_positive_count,uncoded_negative_trials,uncoded_false_negative_count,uncoded_positive_trials,uncoded_fpr,uncoded_fnr,uncoded_max_fpr_fnr,uncoded_fp_plus_fn_over_trials,uncoded_max_ci95_lower,uncoded_max_ci95_upper,uncoded_max_zero_event_upper95,noiseless_false_positive_count,noiseless_negative_trials,noiseless_false_negative_count,noiseless_positive_trials,noiseless_fpr,noiseless_fnr,noiseless_max_fpr_fnr,noiseless_fp_plus_fn_over_trials,noiseless_max_ci95_lower,noiseless_max_ci95_upper,noiseless_max_zero_event_upper95
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p0.mat,id,Identification,40,0.1,0.5,2,80,0.254024101186092,2500,fixed_frames,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN,1,1012500,793081,1012500,9.87654320987654e-07,0.78328987654321,0.78328987654321,0.391645432098765,0.782477037037037,0.784096790123457,NaN,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p5/points/result_n_40_awgn_ebno_p2p5.mat,id,Identification,40,0.1,0.5,2.5,80,0.254024101186092,2500,fixed_frames,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN,0,1012500,709034,1012500,0,0.700280493827161,0.700280493827161,0.35014024691358,0.699391604938272,0.701187160493827,NaN,3,1012500,0,1012500,2.96296296296296e-06,0,2.96296296296296e-06,1.48148148148148e-06,0,6.91358024691358e-06,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p6/points/result_n_40_awgn_ebno_p1p0.mat,id,Identification,40,0.1,0.6,1,66.6666666666667,0.30482892142331,2500,fixed_frames,1,1215000,1174457,1215000,8.23045267489712e-07,0.966631275720165,0.966631275720165,0.483316049382716,0.966051028806584,0.967179423868313,NaN,2,1215000,1095129,1215000,1.64609053497942e-06,0.901340740740741,0.901340740740741,0.450671193415638,0.900815637860082,0.901849382716049,NaN,3,1215000,0,1215000,2.46913580246914e-06,0,2.46913580246914e-06,1.23456790123457e-06,0,5.76131687242798e-06,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p6/points/result_n_40_awgn_ebno_p1p5.mat,id,Identification,40,0.1,0.6,1.5,66.6666666666667,0.30482892142331,2500,fixed_frames,3,1215000,172,1215000,2.46913580246914e-06,0.00014156378600823,0.00014156378600823,7.20164609053498e-05,8.23045267489712e-07,0.000424691358024691,NaN,1,1215000,1033646,1215000,8.23045267489712e-07,0.850737448559671,0.850737448559671,0.425369135802469,0.850085596707819,0.851355555555556,NaN,3,1215000,0,1215000,2.46913580246914e-06,0,2.46913580246914e-06,1.23456790123457e-06,0,5.76131687242798e-06,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p6/points/result_n_40_awgn_ebno_p2p0.mat,id,Identification,40,0.1,0.6,2,66.6666666666667,0.30482892142331,2500,fixed_frames,3,1215000,0,1215000,2.46913580246914e-06,0,2.46913580246914e-06,1.23456790123457e-06,0,5.76131687242798e-06,NaN,0,1215000,951349,1215000,0,0.78300329218107,0.78300329218107,0.391501646090535,0.782290534979424,0.783757201646091,NaN,3,1215000,0,1215000,2.46913580246914e-06,0,2.46913580246914e-06,1.23456790123457e-06,0,5.76131687242798e-06,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p6/points/result_n_40_awgn_ebno_p2p5.mat,id,Identification,40,0.1,0.6,2.5,66.6666666666667,0.30482892142331,2500,fixed_frames,3,1215000,0,1215000,2.46913580246914e-06,0,2.46913580246914e-06,1.23456790123457e-06,0,5.76131687242798e-06,NaN,2,1215000,850471,1215000,1.64609053497942e-06,0.699976131687243,0.699976131687243,0.349988888888889,0.69918024691358,0.700765432098765,NaN,3,1215000,0,1215000,2.46913580246914e-06,0,2.46913580246914e-06,1.23456790123457e-06,0,5.76131687242798e-06,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p6667/points/result_n_40_awgn_ebno_p1p0.mat,id,Identification,40,0.1,0.666666666666667,1,60,0.338698801581456,2500,fixed_frames,3,1350000,1251695,1350000,2.22222222222222e-06,0.927181481481481,0.927181481481481,0.463591851851852,0.9266,0.927747407407407,NaN,5,1350000,1216767,1350000,3.7037037037037e-06,0.901308888888889,0.901308888888889,0.450656296296296,0.900794814814815,0.901811851851852,NaN,3,1350000,0,1350000,2.22222222222222e-06,0,2.22222222222222e-06,1.11111111111111e-06,0,5.18518518518518e-06,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p6667/points/result_n_40_awgn_ebno_p1p5.mat,id,Identification,40,0.1,0.666666666666667,1.5,60,0.338698801581456,2500,fixed_frames,1,1350000,774125,1350000,7.40740740740741e-07,0.573425925925926,0.573425925925926,0.286713333333333,0.568777777777778,0.578018518518518,NaN,1,1350000,1147513,1350000,7.40740740740741e-07,0.85000962962963,0.85000962962963,0.425005185185185,0.84939037037037,0.850607407407407,NaN,3,1350000,0,1350000,2.22222222222222e-06,0,2.22222222222222e-06,1.11111111111111e-06,0,5.18518518518518e-06,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p6667/points/result_n_40_awgn_ebno_p2p0.mat,id,Identification,40,0.1,0.666666666666667,2,60,0.338698801581456,2500,fixed_frames,3,1350000,679,1350000,2.22222222222222e-06,0.000502962962962963,0.000502962962962963,0.000252592592592593,0.000163703703703704,0.000948148148148148,NaN,3,1350000,1057507,1350000,2.22222222222222e-06,0.783338518518519,0.783338518518519,0.39167037037037,0.782634074074074,0.784057777777778,NaN,3,1350000,0,1350000,2.22222222222222e-06,0,2.22222222222222e-06,1.11111111111111e-06,0,5.18518518518518e-06,NaN
results/noisy_channel_confirmatory_bp/rate_pareto/id/n_40/Rc_0p6667/points/result_n_40_awgn_ebno_p2p5.mat,id,Identification,40,0.1,0.666666666666667,2.5,60,0.338698801581456,2500,fixed_frames,3,1350000,545,1350000,2.22222222222222e-06,0.000403703703703704,0.000403703703703704,0.000202962962962963,2.22222222222222e-06,0.00120592592592593,NaN,1,1350000,945237,1350000,7.40740740740741e-07,0.700175555555556,0.700175555555556,0.350088148148148,0.69939037037037,0.70094962962963,NaN,3,1350000,0,1350000,2.22222222222222e-06,0,2.22222222222222e-06,1.11111111111111e-06,0,5.18518518518518e-06,NaN
